Name,GamesPlayed,MinutesPlayed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Kyrie Irving,72,2525,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9,0.9,0.8333333333333334,0.7333333333333333,0.3,0.3,0.26666666666666666,0.4,0.4,0.4666666666666667,0.5333333333333333,0.6333333333333333,0.6333333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.7666666666666667,0.6666666666666666,0.6333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9,0.8666666666666667,0.8666666666666667,0.6666666666666666,0.6,0.5333333333333333,0.43333333333333335,0.3,0.4,0.4,0.43333333333333335,0.5666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.36666666666666664
J.R. Smith,41,1187,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6666666666666666,0.5333333333333333,0.36666666666666664,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.26666666666666666,0.43333333333333335,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6,0.5666666666666667,0.5,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6,0.5666666666666667,0.5,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.26666666666666666,0.26666666666666666,0.3,0.3333333333333333,0.3,0.36666666666666664,0.3333333333333333
LeBron James,74,2794,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7666666666666667,0.3333333333333333,0.26666666666666666,0.2,0.7333333333333333,0.7333333333333333,0.7,0.7,0.7,0.7,0.6666666666666666,0.6,0.5333333333333333,0.6333333333333333,0.7333333333333333,0.7333333333333333,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8333333333333334,0.6,0.4,0.3333333333333333,0.5,0.5,0.5,0.5666666666666667,0.6333333333333333,0.7,0.6333333333333333,0.6333333333333333,0.5666666666666667,0.5333333333333333,0.5333333333333333,0.43333333333333335
Kevin Love,60,1885,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6333333333333333,0.6,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.4666666666666667,0.6333333333333333,0.7666666666666667,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8,0.7666666666666667,0.7,0.6333333333333333,0.5666666666666667,0.4,0.26666666666666666,0.26666666666666666,0.3,0.3,0.3333333333333333,0.4,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5,0.4666666666666667,0.4666666666666667,0.23333333333333334
Tristan Thompson,78,2336,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,0.8666666666666667,0.8,0.6333333333333333,0.5,0.43333333333333335,0.1,0.16666666666666666,0.16666666666666666,0.23333333333333334,0.26666666666666666,0.5,0.8,0.9,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.7333333333333333,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9,0.8666666666666667,0.8333333333333334,0.8,0.6666666666666666,0.5,0.4,0.4666666666666667,0.16666666666666666,0.2,0.23333333333333334,0.23333333333333334,0.26666666666666666,0.2,0.16666666666666666,0.16666666666666666,0.2,0.2,0.2,0.16666666666666666
Iman Shumpert,76,1937,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.23333333333333334,0.43333333333333335,0.9,0.9666666666666667,0.9333333333333333,0.9,0.9,0.8666666666666667,0.8333333333333334,0.7666666666666667,0.7,0.5333333333333333,0.4666666666666667,0.36666666666666664,0.3333333333333333,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.23333333333333334,0.3333333333333333,0.43333333333333335,0.6333333333333333,0.7333333333333333,0.8333333333333334,0.8,0.8,0.8,0.7333333333333333,0.7,0.7,0.6333333333333333,0.6333333333333333,0.5,0.43333333333333335,0.4,0.4
Richard Jefferson,79,1614,0.16666666666666666,0.16666666666666666,0.2,0.2,0.2,0.2,0.23333333333333334,0.36666666666666664,0.5,0.6666666666666666,0.8333333333333334,0.8,0.7666666666666667,0.7666666666666667,0.8,0.6333333333333333,0.5,0.36666666666666664,0.16666666666666666,0.2,0.26666666666666666,0.3,0.3,0.43333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.2,0.23333333333333334,0.23333333333333334,0.4,0.5,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.43333333333333335,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.3,0.3,0.43333333333333335
Channing Frye,74,1398,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.2,0.16666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.7,0.7,0.6666666666666666,0.6,0.5666666666666667,0.36666666666666664,0.23333333333333334,0.16666666666666666,0.1,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.36666666666666664,0.5333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.5666666666666667,0.4666666666666667,0.43333333333333335,0.3,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.13333333333333333
Kyle Korver,35,859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Liggins,61,752,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.23333333333333334,0.16666666666666666,0.2,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.1,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.1,0.2,0.23333333333333334,0.2,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.3,0.3,0.3,0.3,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.3,0.26666666666666666,0.26666666666666666,0.2,0.23333333333333334,0.2,0.2,0.2,0.23333333333333334,0.23333333333333334,0.3333333333333333
Deron Williams,24,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
